metric,value,units,pass
duration_s,19.92,s,True
num_samples,1993,count,True
collision,0,bool,True
speed_mean_mps,1.9843945826618163,m/s,True
speed_std_mps,0.10762242962994532,m/s,True
speed_cv,0.05423438995967392,unitless,True
steer_range_rad,0.128,rad,True
yaw_rate_range_radps,0.567181308,rad/s,True
steering_saturation_fraction,0.0,fraction,True
max_saturation_segment_s,0.0,s,True
required_topic_overlap_s,19.93995213508606,s,True
collision_observed,1,bool,True
topic_ego_racecar_odom_observed_rate_hz,100.03229230017052,Hz,True
topic_ego_racecar_odom_max_gap_s,0.02432727813720703,s,True
topic_ego_racecar_odom_median_header_bag_skew_s,0.0002989768981933594,s,True
topic_ego_racecar_odom_max_header_bag_skew_s,0.008481025695800781,s,True
topic_drive_observed_rate_hz,99.97864225781846,Hz,True
topic_drive_max_gap_s,0.024282455444335938,s,True
topic_drive_median_header_bag_skew_s,0.00017750263214111328,s,True
topic_drive_max_header_bag_skew_s,0.007903814315795898,s,True
topic_f1tenth_collision_observed_rate_hz,99.99294330806275,Hz,True
topic_f1tenth_collision_max_gap_s,0.02429795265197754,s,True
topic_f1tenth_internal_state_observed_rate_hz,100.02394295662128,Hz,True
topic_f1tenth_internal_state_max_gap_s,0.024319887161254883,s,True
